training_id,employee_id,course_name,completion,score
347,177,Data Literacy,In Progress,
348,177,Public Speaking,Completed,85.33
349,177,Communication Skills,Completed,100.0
350,178,Data Literacy,Completed,99.68
351,178,Conflict Resolution,Completed,73.48
352,179,Communication Skills,Completed,77.16
353,180,Communication Skills,Completed,64.31
354,180,Time Management,Completed,80.82
355,180,Project Management,Completed,90.96
356,181,Data Literacy,In Progress,
357,181,Public Speaking,Completed,95.12
358,182,Project Management,Completed,83.86
359,183,Communication Skills,Completed,79.04
360,183,Conflict Resolution,Completed,91.91
361,184,Project Management,Completed,75.09
362,184,Leadership Essentials,Not Started,
363,185,Public Speaking,In Progress,
364,185,Advanced Excel,Completed,79.77
365,186,Public Speaking,Completed,75.74
366,186,Leadership Essentials,In Progress,
367,187,Time Management,Completed,48.32
368,187,Advanced Excel,Completed,55.49
369,187,Conflict Resolution,Completed,73.98
370,188,Communication Skills,Completed,64.27
371,188,Cloud Computing,Completed,69.43
372,189,Conflict Resolution,Completed,86.61
373,189,Leadership Essentials,Completed,95.49
374,190,Time Management,Completed,79.37
375,191,Conflict Resolution,Completed,66.74
376,191,Data Literacy,Completed,66.54
377,191,Cloud Computing,Completed,61.83
378,192,Project Management,Completed,69.95
379,193,Public Speaking,Completed,73.89
380,194,Communication Skills,Not Started,
381,195,Conflict Resolution,Completed,75.43
382,195,Project Management,Not Started,
383,196,Data Literacy,Not Started,
384,196,Project Management,Completed,78.01
385,196,Cloud Computing,Completed,69.67
386,197,Public Speaking,Completed,55.75
387,198,Project Management,Completed,100.0
388,198,Leadership Essentials,Completed,100.0
389,199,Communication Skills,In Progress,
390,199,Time Management,In Progress,
391,199,Leadership Essentials,Completed,82.6
392,200,Cloud Computing,Completed,100.0
393,201,Advanced Excel,Completed,66.42
394,201,Time Management,In Progress,
395,201,Communication Skills,Completed,93.08
396,202,Public Speaking,In Progress,
397,202,Communication Skills,Completed,75.84
398,202,Time Management,Completed,85.84
399,203,Public Speaking,Not Started,
400,203,Leadership Essentials,Not Started,
401,204,Time Management,In Progress,
402,204,Communication Skills,Completed,89.49
403,204,Data Literacy,Completed,90.59
404,205,Public Speaking,In Progress,
405,205,Data Literacy,Completed,100.0
406,205,Cloud Computing,Not Started,
407,206,Communication Skills,In Progress,
408,206,Time Management,Completed,88.98
409,207,Leadership Essentials,In Progress,
410,208,Data Literacy,Completed,80.24
411,208,Time Management,Completed,97.55
412,208,Advanced Excel,Completed,89.31
413,209,Public Speaking,Completed,70.2
414,210,Communication Skills,Completed,92.57
415,210,Cloud Computing,Completed,87.47
416,211,Public Speaking,In Progress,
417,212,Leadership Essentials,Completed,89.02
418,212,Communication Skills,In Progress,
419,212,Data Literacy,Completed,84.23
420,213,Cloud Computing,Completed,100.0
421,214,Data Literacy,In Progress,
422,214,Cloud Computing,Completed,81.89
423,215,Project Management,Completed,65.69
424,215,Advanced Excel,Completed,65.08
425,215,Communication Skills,Completed,54.78
426,216,Public Speaking,Not Started,
427,216,Cloud Computing,In Progress,
428,216,Data Literacy,Not Started,
429,217,Conflict Resolution,Completed,72.43
430,218,Project Management,Completed,80.27
431,219,Conflict Resolution,In Progress,
432,219,Communication Skills,In Progress,
433,220,Leadership Essentials,In Progress,
434,221,Conflict Resolution,Completed,66.18
435,222,Advanced Excel,Completed,89.04
436,222,Communication Skills,Not Started,
437,222,Project Management,Completed,77.25
438,223,Advanced Excel,Completed,76.52
439,223,Public Speaking,Completed,73.32
440,224,Public Speaking,Completed,83.41
441,224,Cloud Computing,Completed,90.65
442,225,Leadership Essentials,Completed,81.95
443,225,Advanced Excel,Completed,84.53
444,225,Cloud Computing,Completed,71.96
445,226,Public Speaking,Completed,91.4
446,226,Cloud Computing,Completed,94.87
447,227,Conflict Resolution,In Progress,
448,227,Advanced Excel,In Progress,
449,227,Public Speaking,Completed,71.31
450,228,Project Management,Completed,85.28
451,229,Advanced Excel,Completed,89.98
452,229,Time Management,In Progress,
453,229,Public Speaking,Completed,72.67
454,230,Leadership Essentials,Completed,72.1
455,231,Data Literacy,Completed,84.02
456,231,Communication Skills,Completed,70.06
457,232,Cloud Computing,Completed,77.67
458,232,Public Speaking,Completed,60.14
459,232,Advanced Excel,Completed,76.05
460,233,Project Management,Completed,60.18
461,233,Public Speaking,Completed,73.41
462,234,Conflict Resolution,In Progress,
463,234,Time Management,Not Started,
464,234,Communication Skills,Completed,68.2
465,235,Advanced Excel,Completed,70.97
466,236,Advanced Excel,Completed,76.01
467,236,Project Management,Not Started,
468,236,Cloud Computing,Completed,86.16
469,237,Project Management,In Progress,
470,237,Communication Skills,Completed,71.72
471,237,Public Speaking,Completed,58.73
472,238,Conflict Resolution,Completed,66.59
473,238,Communication Skills,Completed,57.95
474,238,Cloud Computing,Completed,60.1
475,239,Public Speaking,In Progress,
476,240,Advanced Excel,Completed,85.55
477,240,Conflict Resolution,Completed,85.79
478,240,Leadership Essentials,Completed,94.46
479,241,Project Management,Completed,65.99
480,241,Leadership Essentials,In Progress,
481,242,Cloud Computing,Completed,96.14
482,243,Time Management,In Progress,
483,243,Advanced Excel,Completed,81.87
484,243,Public Speaking,Completed,72.24
485,244,Time Management,Completed,100.0
486,244,Project Management,Completed,100.0
487,244,Data Literacy,Completed,100.0
488,245,Project Management,In Progress,
489,245,Data Literacy,Completed,90.16
490,245,Cloud Computing,Completed,87.57
491,246,Conflict Resolution,Completed,67.98
492,246,Time Management,In Progress,
493,247,Project Management,Completed,83.6
494,247,Leadership Essentials,Completed,100.0
495,247,Time Management,Completed,99.72
496,248,Conflict Resolution,Completed,98.08
497,248,Advanced Excel,Completed,82.57
498,248,Time Management,Completed,92.29
499,249,Time Management,Completed,73.26
500,249,Data Literacy,Completed,74.8
501,250,Leadership Essentials,Completed,89.81
502,251,Leadership Essentials,Completed,95.98
503,251,Time Management,Completed,84.97
504,251,Communication Skills,Completed,85.68
505,252,Data Literacy,Completed,78.75
506,253,Data Literacy,In Progress,
507,253,Leadership Essentials,Completed,85.34
508,254,Cloud Computing,Completed,86.65
509,254,Leadership Essentials,Completed,84.74
510,255,Cloud Computing,Not Started,
511,255,Conflict Resolution,In Progress,
512,255,Communication Skills,Completed,73.06
513,256,Project Management,Completed,85.19
514,256,Leadership Essentials,In Progress,
515,257,Communication Skills,Not Started,
516,257,Cloud Computing,In Progress,
517,257,Conflict Resolution,Completed,68.97
518,258,Conflict Resolution,In Progress,
519,258,Cloud Computing,Completed,93.05
520,259,Public Speaking,Completed,84.81
521,260,Cloud Computing,Not Started,
522,261,Leadership Essentials,Not Started,
523,261,Advanced Excel,Completed,79.21
524,262,Public Speaking,In Progress,
525,262,Cloud Computing,Completed,80.97
526,262,Leadership Essentials,Completed,84.54
527,263,Communication Skills,Completed,83.0
528,263,Leadership Essentials,Completed,73.95
529,264,Time Management,Completed,55.78
530,264,Conflict Resolution,In Progress,
531,264,Public Speaking,Completed,58.57
532,265,Communication Skills,In Progress,
533,265,Data Literacy,Not Started,
534,266,Communication Skills,Completed,84.08
535,266,Advanced Excel,Completed,86.29
536,267,Conflict Resolution,Completed,79.82
537,268,Advanced Excel,Completed,80.57
538,269,Advanced Excel,Completed,57.65
539,270,Project Management,Completed,78.69
540,270,Conflict Resolution,Completed,72.35
541,270,Time Management,Completed,64.07
542,271,Leadership Essentials,In Progress,
543,271,Conflict Resolution,Completed,83.65
544,272,Time Management,Completed,72.12
545,273,Leadership Essentials,Not Started,
546,273,Data Literacy,In Progress,
547,273,Public Speaking,Completed,100.0
548,274,Communication Skills,Completed,61.37
549,274,Public Speaking,Completed,89.69
550,275,Public Speaking,Completed,65.22
551,276,Cloud Computing,In Progress,
552,276,Advanced Excel,Completed,100.0
553,276,Communication Skills,Completed,100.0
554,277,Data Literacy,Completed,60.72
555,277,Leadership Essentials,Completed,49.41
556,278,Communication Skills,Completed,93.17
557,278,Conflict Resolution,Completed,79.0
558,278,Time Management,Completed,87.29
559,279,Data Literacy,Completed,81.94
560,280,Data Literacy,Completed,91.55
561,280,Conflict Resolution,Completed,97.7
562,281,Advanced Excel,In Progress,
563,281,Cloud Computing,Completed,76.71
564,281,Project Management,Completed,80.06
565,282,Data Literacy,Completed,85.93
566,283,Time Management,Completed,81.54
567,283,Data Literacy,In Progress,
568,283,Advanced Excel,Completed,79.35
569,284,Conflict Resolution,Completed,86.11
570,285,Cloud Computing,Completed,93.62
571,286,Project Management,Not Started,
572,286,Time Management,Completed,69.04
573,287,Time Management,Completed,57.6
574,287,Data Literacy,Completed,65.75
575,287,Cloud Computing,Completed,67.7
576,288,Public Speaking,In Progress,
577,289,Conflict Resolution,Completed,56.62
578,289,Cloud Computing,Not Started,
579,290,Leadership Essentials,Completed,100.0
580,290,Data Literacy,In Progress,
581,290,Time Management,Completed,88.48
582,291,Leadership Essentials,Completed,55.0
583,292,Communication Skills,In Progress,
584,292,Data Literacy,Completed,66.49
585,292,Public Speaking,Completed,70.71
586,293,Public Speaking,Completed,76.97
587,293,Project Management,Completed,69.04
588,294,Time Management,Not Started,
589,294,Public Speaking,In Progress,
590,295,Conflict Resolution,Completed,93.47
591,296,Data Literacy,Completed,74.26
592,296,Conflict Resolution,Completed,60.65
593,297,Conflict Resolution,Not Started,
594,297,Public Speaking,Completed,100.0
595,297,Communication Skills,Completed,100.0
596,298,Leadership Essentials,Completed,93.64
597,298,Conflict Resolution,Completed,89.33
598,298,Cloud Computing,Not Started,
599,299,Communication Skills,Completed,84.99
600,299,Project Management,In Progress,
601,300,Conflict Resolution,In Progress,
602,300,Data Literacy,Completed,87.07
603,300,Public Speaking,Completed,81.86
